ENTREZGENE	M172_1_CDS	M172_2_CDS	M172_3_CDS	Mgfp_1_CDS	Mgfp_2_CDS	Mgfp_3_CDS	ENSG
SIA1	251	571	485	515	453	522	YOR137C
EBP2	415	887	930	605	549	672	YKL172W
COS1	283	587	501	319	315	466	YNL336W
HNT2	162	362	315	220	213	237	YDR305C
PTK2	751	1735	1642	1497	1702	2226	YJR059W
MRPL51	8	38	34	32	29	23	YPR100W
GGA1	586	1249	1162	1131	1134	1466	YDR358W
KIN2	213	479	438	330	316	413	YLR096W
SHQ1	25	45	46	32	32	30	YIL104C
MRS4	310	693	669	476	507	764	YKR052C
MAG2	316	682	623	414	514	609	YLR427W
DAL3	22	48	53	35	40	55	YIR032C
YGL015C	2	6	3	6	2	5	YGL015C
TOR1	283	678	616	670	597	750	YJR066W
SAS2	109	220	190	151	123	164	YMR127C
AXL2	140	357	337	191	198	263	YIL140W
YOL163W	25	69	65	24	39	39	YOL163W
NOP56	597	1281	1240	934	802	1212	YLR197W
MET8	14	42	40	3	21	30	YBR213W
YAL064W	5	8	5	3	5	8	YAL064W
RCY1	135	283	252	241	208	214	YJL204C
MAP1	370	828	716	682	628	738	YLR244C
YJR084W	240	504	488	347	368	480	YJR084W
EST1	103	210	192	255	249	261	YLR233C
GUD1	163	379	307	271	283	331	YDL238C
GUP1	358	750	686	670	657	742	YGL084C
HTS1	785	1810	1635	1408	1325	1476	YPR033C
NAM2	197	455	386	299	329	383	YLR382C
YLR156C-A	4	6	0	4	5	1	YLR154C-H
YLR154C-G	1	0	0	1	0	0	YLR154C-G
MSC3	806	1878	1759	1241	1350	1764	YLR219W
ESC2	248	495	503	452	465	564	YDR363W
RIA1	202	455	396	268	291	301	YNL163C
SAD1	77	166	118	186	176	214	YFR005C
MUP3	91	159	145	127	158	193	YHL036W
PRE4	985	2073	1984	1654	1639	2043	YFR050C
BSC5	116	266	241	141	208	234	YNR069C
YGR126W	44	77	64	52	64	56	YGR126W
CDC15	256	555	604	335	375	439	YAR019C
AFT1	413	942	876	485	556	619	YGL071W
MNT2	296	644	575	507	515	576	YGL257C
VMA7	559	1214	1153	1344	1217	1320	YGR020C
YOR093C	201	464	399	302	281	305	YOR093C
AIM1	162	369	282	204	174	265	YAL046C
RKM2	91	203	218	139	131	127	YDR198C
CYC3	756	1626	1536	749	875	1011	YAL039C
MDR1	598	1207	1082	929	871	1115	YGR100W
FCY21	199	354	342	218	211	261	YER060W
YDR286C	130	232	197	150	147	170	YDR286C
RPL42B	2036	4022	3766	3212	2794	4140	YHR141C
TBF1	93	186	167	169	162	163	YPL128C
GWT1	138	329	297	228	253	329	YJL091C
RPL21A	1679	3529	3448	3005	2640	3734	YBR191W
ARO10	611	1173	1095	338	413	602	YDR380W
SEH1	289	626	518	443	412	536	YGL100W
SDS23	587	1152	1252	509	623	782	YGL056C
VPS72	425	866	924	596	680	864	YDR485C
YAR1	178	380	399	216	217	259	YPL239W
DPM1	827	1686	1525	1243	1283	1476	YPR183W
NOC2	327	753	731	473	432	582	YOR206W
FUI1	208	477	419	196	191	255	YBL042C
HSP33	44	80	62	64	67	79	YOR391C
SNA2	391	702	582	543	528	600	YDR525W-A
RPL10	1928	3976	4013	2818	2476	3552	YLR075W
YRO2	569	1010	876	1449	1424	1857	YBR054W
YEH2	102	179	190	166	161	140	YLR020C
YNL217W	156	340	292	321	259	322	YNL217W
RGI1	0	0	0	0	0	0	YER067W
PDR11	213	415	437	276	276	339	YIL013C
PGC1	671	1342	1217	942	933	1172	YPL206C
TSR1	146	340	316	184	198	197	YDL060W
VBA2	318	750	704	373	383	510	YBR293W
POP2	385	795	703	556	540	705	YNR052C
ERC1	169	392	425	219	268	352	YHR032W
MCM3	136	306	234	237	229	270	YEL032W
MDM20	42	100	83	93	78	72	YOL076W
RPS4B	2203	4519	4295	3518	3252	4610	YHR203C
YJL136W-A	0	0	0	0	0	0	YJL136W-A
CTK3	118	253	263	169	172	208	YML112W
AIM27	657	1383	1234	1019	984	1170	YKL207W
KAP114	114	225	230	207	188	207	YGL241W
YOL014W	12	41	27	21	7	17	YOL014W
BET2	243	568	522	349	302	462	YPR176C
YOS9	274	602	512	366	355	450	YDR057W
SNX4	610	1294	1237	849	859	1173	YJL036W
NTF2	592	1239	1188	1022	936	1222	YER009W
CFT2	271	639	616	370	390	512	YLR115W
YGL114W	417	940	913	547	512	687	YGL114W
BCK2	344	714	668	563	521	576	YER167W
YPK2	1207	2629	2732	2478	2781	3394	YMR104C
PUG1	69	147	134	34	35	80	YER185W
SEC31	686	1567	1484	1355	1458	1958	YDL195W
GCR2	384	799	784	581	607	696	YNL199C
NPP1	405	806	835	560	517	669	YCR026C
SAS3	154	299	282	117	117	160	YBL052C
YDR316W-A	0	0	0	0	0	0	YER159C-A
ECM8	20	36	42	45	64	62	YBR076W
PFS2	222	437	416	372	367	462	YNL317W
KNS1	816	1841	1952	1058	1283	1746	YLL019C
HHF1	1625	3283	2910	6155	5830	6179	YBR009C
CIC1	127	260	278	186	141	240	YHR052W
GCN3	92	219	237	175	193	195	YKR026C
POL32	25	63	57	54	64	59	YJR043C
YJR012C	114	198	198	156	142	178	YJR012C
FBA1	31373	62491	57930	76853	72560	75952	YKL060C
PER1	178	367	318	425	407	419	YCR044C
YDL177C	36	68	80	42	44	50	YDL177C
YLR264C-A	45	104	78	119	117	90	YLR264C-A
MSK1	812	1913	1590	1168	1201	1369	YNL073W
CAT8	599	1229	1275	938	966	1358	YMR280C
PAU5	20	51	52	22	24	42	YFL020C
MDJ2	25	39	32	37	41	38	YNL328C
CCT3	532	1165	1130	948	880	1130	YJL014W
CCH1	64	160	151	131	126	136	YGR217W
MED4	229	490	478	339	323	492	YOR174W
NCE102	5075	10572	8931	13172	12833	15665	YPR149W
PBI2	1735	3836	3333	4656	4348	4509	YNL015W
TUP1	407	999	1029	638	832	1167	YCR084C
STB5	84	201	194	167	140	166	YHR178W
YLR283W	86	201	173	174	175	205	YLR283W
DAP1	316	669	574	478	503	555	YPL170W
IMA3	0	0	0	0	0	0	YJL221C
COQ4	593	1265	1073	1066	979	1066	YDR204W
YBR085C-A	1399	2908	2591	2467	2378	2750	YBR085C-A
PAM1	875	2026	1792	1772	1846	2137	YDR251W
PTC2	364	829	762	858	853	959	YER089C
CDC21	29	62	66	53	72	78	YOR074C
ERG10	1390	3087	2700	1743	1774	2326	YPL028W
DAL5	152	339	307	218	250	315	YJR152W
PAN3	269	683	569	521	532	711	YKL025C
SEN34	24	38	46	25	27	41	YAR008W
AMN1	536	1238	952	1429	1459	1489	YBR158W
WRS1	301	605	603	641	572	718	YOL097C
TFC7	170	340	346	359	333	506	YOR110W
MXR2	342	688	662	451	454	543	YCL033C
ATP23	81	171	151	121	151	111	YNR020C
SHG1	38	102	106	64	82	97	YBR258C
YNL146W	36	81	83	47	39	58	YNL146W
ERP2	175	472	368	563	464	546	YAL007C
TMA7	526	1081	1020	798	750	965	YLR262C-A
TDP1	77	195	181	129	171	173	YBR223C
ZWF1	4055	8661	7887	6102	6563	7584	YNL241C
VPS35	479	1014	955	846	873	985	YJL154C
RLI1	218	465	466	280	270	372	YDR091C
MTC1	990	1924	1918	1449	1489	1982	YJL123C
SSF1	42	99	83	51	60	48	YHR066W
SGF11	109	199	190	93	119	162	YPL047W
POS5	214	540	559	432	419	599	YPL188W
RPS30A	1834	3573	3436	2850	2432	3308	YLR287C-A
ECM31	109	257	221	133	106	141	YBR176W
UME6	297	564	581	361	352	515	YDR207C
ULI1	37	94	75	45	49	53	YFR026C
PMA2	437	888	937	311	326	1079	YPL036W
CSE1	276	617	538	516	504	530	YGL238W
VMA22	219	434	419	299	299	340	YHR060W
TEP1	30	56	63	35	29	50	YNL128W
YLR312C	417	997	831	416	441	661	YLR312C
DPH2	287	692	628	347	353	492	YKL191W
VPS27	481	1072	1097	762	853	1001	YNR006W
MSH1	70	167	146	139	135	152	YHR120W
FLO1	77	156	156	98	107	156	YAR050W
BSC6	114	263	236	183	194	209	YOL137W
APA2	610	1346	1241	1061	1075	1304	YDR530C
SWI4	85	145	147	145	143	183	YER111C
UBP5	381	813	904	376	404	558	YER144C
RPP2A	2490	4955	4826	3759	3511	4820	YOL039W
CAB2	753	1521	1478	614	614	750	YIL083C
PRS3	492	1031	1096	706	656	798	YHL011C
UBR1	518	1058	999	821	764	971	YGR184C
ADH2	175	384	436	443	284	485	YMR303C
MFM1	152	341	292	269	231	305	YPL060W
DFM1	416	906	776	497	581	669	YDR411C
KTR3	196	486	405	355	377	464	YBR205W
PMT3	116	226	208	180	172	229	YOR321W
HSC82	3351	8008	6666	7211	7157	8777	YMR186W
YJL225C	8	10	17	7	6	15	YJL225C
PGM3	352	788	704	641	670	820	YMR278W
TIS11	175	535	443	328	408	308	YLR136C
YGL260W	0	0	3	0	0	0	YGL260W
HFA1	192	383	366	225	210	266	YMR207C
TAF11	160	329	311	291	293	292	YML015C
MCA1	611	1370	1227	1052	1007	1204	YOR197W
TGL4	1104	2317	2242	1921	1959	2598	YKR089C
SIS2	644	1344	1228	791	833	849	YKR072C
NOP1	455	1066	947	633	674	844	YDL014W
YML040W	0	0	0	0	0	0	YML040W
YER079W	1238	2427	2303	1929	1838	2528	YER079W
YAT2	2804	6337	7049	1964	1862	2106	YER024W
WTM1	3537	7855	6618	5086	5158	5542	YOR230W
YHB1	653	1514	1187	1513	1441	1922	YGR234W
YMR178W	445	929	846	770	720	789	YMR178W
SXM1	161	418	317	299	250	256	YDR395W
RHO2	23	37	30	19	35	31	YNL090W
SLY41	193	457	413	413	406	448	YOR307C
RXT2	233	470	491	317	319	403	YBR095C
EHD3	186	403	343	334	327	382	YDR036C
NQM1	2139	3726	3655	2024	1928	4166	YGR043C
GRE1	836	1296	1459	441	509	1848	YPL223C
YPL272C	97	241	199	114	122	114	YPL272C
SEC4	982	1967	1766	1564	1486	1793	YFL005W
ADY2	238	436	554	262	134	221	YCR010C
YIM1	569	1103	1030	1043	927	1168	YMR152W
STO1	230	643	519	544	547	570	YMR125W
FAR8	454	925	946	973	990	1169	YMR029C
FRM2	10	18	24	9	11	10	YCL026C-A
HBN1	57	109	110	99	118	147	YCL026C-B
CNM67	124	257	237	218	238	291	YNL225C
YJL055W	882	1821	1548	1735	1785	1893	YJL055W
RPL11A	1582	3124	3033	2852	2342	3628	YPR102C
SNO2	20	41	45	30	29	34	YNL334C
KAR1	61	158	126	126	136	125	YNL188W
RSC3	115	274	276	285	259	258	YDR303C
ELP3	200	398	424	284	238	330	YPL086C
COX2	0	0	0	0	0	0	Q0250
Q0255	0	0	0	0	0	0	Q0255
YBR221W-A	2	4	2	0	1	2	YBR221W-A
SFI1	215	405	401	258	275	321	YLL003W
MXR1	262	486	517	290	293	408	YER042W
YDR109C	196	392	370	218	196	238	YDR109C
GTB1	246	518	468	399	351	467	YDR221W
AHP1	4171	9343	7816	5607	6704	6883	YLR109W
FOX2	648	1177	1251	707	612	1212	YKR009C
CTF18	101	144	160	92	96	109	YMR078C
GIS3	426	852	899	349	437	515	YLR094C
MSH5	119	250	243	94	99	91	YDL154W
CBF1	175	377	361	284	301	359	YJR060W
CBK1	330	795	767	485	503	651	YNL161W
ATG32	357	746	775	364	408	533	YIL146C
NMT1	260	590	499	338	375	447	YLR195C
BNA5	360	719	630	692	679	907	YLR231C
ATP7	1388	2878	2421	3208	3043	3592	YKL016C
CAR1	508	1047	1041	569	564	932	YPL111W
TPO5	268	584	536	354	321	383	YKL174C
DGR2	458	1072	954	657	671	854	YKL121W
CSR1	161	354	304	286	280	363	YLR380W
YOR142W-B	11	17	12	4	3	4	YOR142W-B
YOR142W-A	0	0	0	0	0	0	YOR142W-A
CLU1	544	1271	1101	1105	1173	1289	YMR012W
TSC11	185	403	392	257	261	319	YER093C
YOR032W-A	3	10	13	2	3	13	YOR032W-A
TRM8	138	258	333	202	163	234	YDL201W
TLG1	337	620	606	503	466	613	YDR468C
YPI1	329	601	610	654	651	778	YFR003C
BCY1	2058	4256	4190	3970	3912	5105	YIL033C
RAD17	107	219	234	181	165	208	YOR368W
UTP8	90	195	228	105	92	144	YGR128C
NEO1	455	936	902	669	721	967	YIL048W
RPS1A	3368	7398	6967	6210	5420	7357	YLR441C
GPM3	65	111	134	120	139	144	YOL056W
RPN12	851	1722	1572	1382	1233	1576	YFR052W
CTT1	1795	3805	3121	8753	8858	11940	YGR088W
HSF1	527	1023	1036	673	699	932	YGL073W
YPS5	10	39	45	9	8	8	YGL259W
VOA1	888	1927	1738	1585	1554	1809	YGR106C
MAD1	189	360	362	280	296	306	YGL086W
GCV3	994	2092	1785	948	958	933	YAL044C
GRS2	292	604	494	390	381	544	YPR081C
DPP1	407	830	740	606	606	739	YDR284C
PHS1	195	418	426	290	298	349	YJL097W
GAL7	24911	54926	47025	44545	45154	49045	YBR018C
MED8	191	394	386	360	348	437	YBR193C
DSE2	1497	3699	3111	4373	4281	4306	YHR143W
YMR315W-A	11	13	16	7	10	7	YMR315W-A
YLR157W-E	0	0	0	0	0	0	YLR157W-E
YLR157W-D	0	0	0	0	0	0	YLR157W-D
SNT309	203	418	380	289	317	299	YPR101W
PGS1	150	330	296	245	254	280	YCL004W
SSN3	296	576	539	491	498	580	YPL042C
YBL044W	2	0	1	2	3	2	YBL044W
CYM1	326	683	610	446	461	542	YDR430C
PDX1	808	1716	1626	1023	1064	1226	YGR193C
RIB3	1215	2622	2420	1704	1566	2099	YDR487C
ATG13	242	506	524	409	414	600	YPR185W
ICL1	980	2311	2730	1398	1046	2068	YER065C
FMP25	278	578	538	385	388	453	YLR077W
YBR056W	1338	2771	2486	2616	2438	2846	YBR056W
PIH1	163	359	310	188	215	305	YHR034C
APN2	197	414	412	383	339	466	YBL019W
NBA1	321	642	677	411	412	551	YOL070C
CCM1	174	382	362	286	266	327	YGR150C
CSM4	10	11	16	6	9	25	YPL200W
ESF2	62	117	130	82	65	73	YNR054C
FIN1	131	263	282	221	190	245	YDR130C
BAR1	414	930	876	625	657	953	YIL015W
ECM10	129	278	248	210	188	255	YEL030W
CTP1	130	277	269	172	168	188	YBR291C
TAF8	335	734	765	466	474	578	YML114C
YCR108C	0	0	0	0	0	0	YCR108C
PPX1	270	588	475	453	452	520	YHR201C
TRF5	33	86	91	46	43	40	YNL299W
STF2	5758	11406	9780	16460	14597	15871	YGR008C
SKP2	179	433	399	236	212	302	YNL311C
MAD2	132	290	263	242	240	283	YJL030W
TRM82	161	304	340	194	181	291	YDR165W
SOL4	1075	2333	1879	3146	3033	3383	YGR248W
YBR074W	168	361	315	295	255	296	YBR074W
MRPL23	311	692	585	537	524	574	YOR150W
CGI121	68	114	117	108	82	115	YML036W
ASM4	481	1004	931	716	779	1007	YDL088C
HOG1	857	1754	1627	1455	1558	1813	YLR113W
PUT1	1665	3216	3707	603	516	1352	YLR142W
YLL058W	138	283	234	263	219	267	YLL058W
ASF2	252	515	484	476	500	560	YDL197C
YER130C	119	331	263	329	282	300	YER130C
PAB1	3216	7315	6877	4000	4260	5471	YER165W
YKU80	76	192	212	137	131	143	YMR106C
YER187W	17	57	66	24	23	32	YER187W
TAF6	339	791	684	517	470	613	YGL112C
YMR244W	11	27	28	22	35	131	YMR244W
APC11	125	312	276	189	200	249	YDL008W
SEC17	941	1960	1764	1505	1387	1797	YBL050W
YGR102C	352	687	653	568	505	552	YGR102C
TMA22	696	1300	1126	958	935	1081	YJR014W
YLR281C	12	16	16	8	9	14	YLR281C
CTF19	120	234	201	108	92	144	YPL018W
URB2	100	160	191	94	107	113	YJR041C
COS7	178	355	307	185	238	317	YDL248W
SAP190	451	986	867	751	695	750	YKR028W
AIM26	39	97	89	57	66	76	YKL037W
MRPL33	263	566	435	375	352	446	YMR286W
AIR2	166	423	396	205	213	351	YDL175C
KKQ8	388	720	750	553	657	773	YKL168C
STE2	928	2164	1819	1655	1692	1955	YFL026W
POL3	85	161	168	121	141	123	YDL102W
CGR1	43	74	56	57	34	44	YGL029W
VCX1	831	1948	1831	1511	1424	1734	YDL128W
MGR2	385	774	748	469	442	616	YPL098C
ARP9	264	585	462	449	434	481	YMR033W
YPR003C	298	608	538	332	379	461	YPR003C
BUD32	210	366	437	310	270	363	YGR262C
RAV2	333	687	621	518	464	554	YDR202C
RSM27	223	467	418	315	281	370	YGR215W
MET32	57	127	125	66	69	105	YDR253C
AHC2	449	886	756	725	628	859	YCR082W
PAU1	0	0	0	0	0	0	YJL223C
RRP6	320	612	638	408	389	527	YOR001W
CAB3	394	846	797	707	675	856	YKL088W
DBP9	303	656	719	400	359	494	YLR276C
FMP45	1894	3629	3355	2420	3175	4715	YDL222C
HMI1	37	75	91	72	79	87	YOL095C
MRPL50	234	482	417	374	376	387	YNR022C
SIZ1	216	459	459	233	323	390	YDR409W
PDB1	2614	5747	5236	4615	4446	5049	YBR221C
YDR169C-A	2	7	5	3	4	11	YDR169C-A
MSH6	74	154	146	116	96	158	YDR097C
RPE1	371	797	693	421	432	540	YJL121C
LAC1	462	1091	937	816	784	801	YKL008C
SIF2	355	751	780	549	453	602	YBR103W
SWM2	58	119	110	89	77	81	YNR004W
SVL3	211	504	449	413	410	498	YPL032C
SSZ1	694	1495	1461	997	1013	1200	YHR064C
PEX1	241	534	511	324	287	412	YKL197C
FMS1	587	1213	1168	736	733	849	YMR020W
COX10	145	281	252	211	200	224	YPL172C
ATP17	901	1909	1683	2243	2039	2433	YDR377W
YIR007W	231	458	389	275	311	384	YIR007W
VPS16	168	360	335	240	267	320	YPL045W
CDC3	655	1335	1361	1129	1152	1414	YLR314C
SPC98	71	109	123	100	72	112	YNL126W
SNC2	728	1391	1490	931	1003	1248	YOR327C
CDC33	855	2013	1885	1453	1401	1783	YOL139C
FTH1	851	1939	1713	1123	1230	1529	YBR207W
BSC4	13	10	15	2	8	11	YNL269W
KRE28	157	314	310	301	279	318	YDR532C
UBA1	1378	3142	2917	2154	2181	2722	YKL210W
LSM5	1	3	3	4	2	5	YER146W
YHR159W	194	413	381	268	333	407	YHR159W
COX11	165	327	289	338	297	353	YPL132W
POR2	69	133	104	153	141	91	YIL114C
SIP4	122	255	307	219	154	197	YJL089W
YJL052C-A	2	5	10	2	0	4	YJL052C-A
ATM1	151	357	346	156	162	225	YMR301C
YBL029W	211	384	362	235	264	338	YBL029W
MRPS17	478	911	793	573	575	674	YMR188C
GTO1	107	203	205	94	94	168	YGR154C
YOR389W	147	306	293	130	127	163	YOR389W
ZRT2	615	1338	1220	1216	1176	1218	YLR130C
SRB4	187	429	402	314	293	428	YER022W
IRA1	504	1029	966	829	893	975	YBR140C
YKR070W	258	550	485	555	469	567	YKR070W
PFK2	1683	3581	3506	3335	3551	3908	YMR205C
YJL185C	562	1209	1102	527	505	715	YJL185C
YNL022C	189	399	406	227	234	310	YNL022C
PSP2	215	431	422	335	336	478	YML017W
OMA1	343	713	676	490	469	635	YKR087C
MGE1	585	1257	1135	1052	962	1113	YOR232W
YOR1	733	1628	1269	1662	1505	1940	YGR281W
SPG1	1275	2194	2172	1139	1074	2330	YGR236C
SRL3	273	569	593	557	631	441	YKR091W
OTU2	177	316	329	182	154	196	YHL013C
YOR059C	515	1006	904	680	748	841	YOR059C
VPS15	121	265	243	273	231	270	YBR097W
TAF7	141	283	316	202	187	232	YMR227C
RAD28	122	252	248	233	229	252	YDR030C
FLC1	475	1026	933	812	793	944	YPL221W
SAM3	1121	2375	2461	1108	1149	1612	YPL274W
VMA8	751	1520	1314	1325	1352	1497	YEL051W
SIN3	468	1087	927	891	888	997	YOL004W
MSB2	175	452	409	314	387	402	YGR014W
TYW3	100	211	204	175	151	169	YGL050W
DMC1	50	152	143	109	83	129	YER179W
IMP1	140	314	258	270	214	258	YMR150C
IMD4	231	495	510	541	475	695	YML056C
BLM10	567	1215	1107	692	668	879	YFL007W
PGK1	8205	16312	15173	18656	18965	20001	YCR012W
COX3	0	0	0	0	0	0	Q0275
BRO1	671	1312	1345	991	1075	1463	YPL084W
TRP4	231	520	504	392	441	452	YDR354W
CFT1	157	344	357	348	328	353	YDR301W
PEP8	382	845	782	744	720	879	YJL053W
FHL1	107	197	181	165	175	186	YPR104C
SUE1	26	49	58	31	36	23	YPR151C
YOR381W-A	3	6	7	4	3	6	YOR381W-A
YMR001C-A	3	4	7	7	5	7	YMR001C-A
TSA1	4472	8970	8250	7987	7664	8808	YML028W
DNM1	390	967	844	572	611	757	YLL001W
HMRA2	0	0	0	0	0	0	YCL067C
RER1	207	466	412	404	386	494	YCL001W
CRF1	154	347	323	161	132	239	YDR223W
TRX1	610	1171	1082	1214	1238	1318	YLR043C
NTA1	236	520	509	499	574	602	YJR062C
PDX3	1104	2273	2099	1953	1880	2284	YBR035C
NMA2	196	415	416	258	279	361	YGR010W
SKO1	385	859	771	853	759	935	YNL167C
BDH1	4839	9708	8857	7677	7692	8623	YAL060W
TID3	202	411	436	297	285	380	YIL144W
RPL16A	1814	3937	3930	3469	2953	3959	YIL133C
UPS1	546	1026	955	599	713	825	YLR193C
ACO2	384	782	793	269	236	388	YJL200C
YSW1	26	57	53	38	45	48	YBR148W
YPL113C	127	214	200	123	123	186	YPL113C
VPS24	356	709	614	446	458	597	YKL041W
RPL9B	953	1874	1972	1709	1446	1929	YNL067W
YDR089W	134	327	293	234	257	230	YDR089W
URB1	93	183	207	172	138	181	YKL014C
THI7	234	583	560	335	340	348	YLR237W
LST4	434	948	834	621	604	698	YKL176C
YDR249C	67	115	116	71	82	100	YDR249C
MET6	4553	10080	9703	6428	7047	9026	YER091C
YIR024C	213	409	407	292	310	372	YIR024C
YJR008W	2261	4722	4206	4748	4778	5727	YJR008W
ACK1	215	438	396	241	244	334	YDL203C
NDC1	233	514	499	317	335	366	YML031W
CDC123	54	158	171	111	115	126	YLR215C
YML082W	84	188	134	103	113	115	YML082W
PSH1	142	294	301	170	186	228	YOL054W
LOC1	283	569	568	429	366	397	YFR001W
ULP2	224	441	459	317	285	385	YIL031W
MSS51	715	1480	1343	1137	1043	1296	YLR203C
FKS1	798	1631	1603	2067	2010	2150	YLR342W
NUP2	494	1023	1036	719	728	749	YLR335W
VPS25	166	327	276	246	236	288	YJR102C
HSP10	1383	2723	2448	2134	1965	2295	YOR020C
SNT2	204	378	396	294	307	400	YGL131C
EMC2	223	474	394	341	381	401	YJR088C
SRB5	144	287	245	180	200	213	YGR104C
MDM30	193	416	382	301	310	391	YLR368W
MRPL37	230	428	343	268	295	319	YBR268W
MDM36	254	403	460	383	336	504	YPR083W
RBG2	94	246	202	142	92	144	YGR173W
YDR282C	221	427	441	263	255	354	YDR282C
GAL3	2216	4995	4461	2732	2792	3248	YDR009W
BCK1	112	237	247	212	215	215	YJL095W
YOL159C-A	43	70	58	62	72	75	YOL159C-A
YHL048C-A	1	3	1	1	0	1	YHL048C-A
TPS1	5844	12346	10643	12942	12524	15165	YBR126C
DCP1	181	342	329	358	297	363	YOL149W
ARO8	2295	5044	4689	3041	3111	4228	YGL202W
RPO26	266	636	552	519	437	527	YPR187W
EAF5	41	89	89	83	68	82	YEL018W
NPL3	843	1729	1764	1677	1862	2502	YDR432W
SKI6	172	400	357	350	303	340	YGR195W
VPS73	311	642	543	491	504	666	YGL104C
YIL082W-A	216	410	442	269	330	442	YIL082W-A
PSY4	208	407	421	304	317	398	YBL046W
BRL1	68	180	158	119	152	144	YHR036W
THP1	159	330	327	226	213	312	YOL072W
YGL159W	164	332	291	263	264	316	YGL159W
VID28	558	1285	1205	1073	1149	1282	YIL017C
HRP1	522	1284	1245	480	553	768	YOL123W
YDR132C	174	331	328	229	226	333	YDR132C
ATR1	376	714	825	254	296	338	YML116W
BIO5	193	421	394	932	1004	845	YNR056C
UPS3	69	150	132	142	137	171	YDR185C
RPL19A	2624	5509	5322	4050	3730	5053	YBR084C-A
SET5	313	586	564	353	386	507	YHR207C
ADE12	2042	4015	3956	2599	2839	2947	YNL220W
ERG25	544	1282	1215	534	551	750	YGR060W
EMW1	91	194	189	96	79	111	YNL313C
YPL257W-A	0	0	0	0	0	0	YPL257W-A
RPL24A	2621	5474	5161	4792	3847	5643	YGL031C
FYV12	1	3	0	2	1	3	YOR183W
ASN2	1492	3285	3128	1911	1767	2864	YGR124W
YPR172W	450	982	813	725	586	743	YPR172W
SRC1	386	794	698	474	437	545	YML034W
EAF3	666	1507	1301	1258	1177	1475	YPR023C
NAN1	208	461	436	244	241	314	YPL126W
ACF2	230	438	428	323	374	392	YLR144C
RMD6	32	96	66	35	36	61	YEL072W
YMC1	305	602	621	310	285	434	YPR058W
RPN4	938	1983	1966	1356	1446	1984	YDL020C
PIF1	120	241	253	175	162	222	YML061C
REG2	271	588	526	415	390	662	YBR050C
RPL35A	2091	3895	3879	3374	2770	4059	YDL191W
BIG1	118	258	238	147	136	165	YHR101C
YER163C	247	502	462	398	381	450	YER163C
PLC1	240	463	489	320	347	369	YPL268W
PMD1	67	178	166	122	115	150	YER132C
YER039C-A	35	74	83	36	52	60	YER039C-A
CUE3	259	463	460	427	369	567	YGL110C
YDR179W-A	46	107	102	50	48	66	YDR179W-A
RPL20A	1651	3467	3296	3179	2877	3941	YMR242C
RPG1	570	1401	1325	1184	1173	1506	YBR079C
RTT10	58	156	131	122	115	118	YPL183C
MRI1	172	329	307	327	304	362	YPR118W
YHR054C	141	286	319	208	213	271	YHR056C
SET4	29	74	66	26	35	40	YJL105W
ILV3	8082	17664	16418	11461	12082	16014	YJR016C
GET3	751	1570	1493	1221	1122	1390	YDL100C
SEC18	420	904	849	770	731	915	YBR080C
YKU70	181	347	293	358	331	403	YMR284W
AGA2	234	459	358	331	359	567	YGL032C
IMP2	142	239	240	284	265	319	YMR035W
GAC1	1125	2386	2238	1952	2163	3042	YOR178C
YKR011C	424	928	870	639	776	1123	YKR011C
ERR2	0	0	0	1	0	0	YOR393W
RPL4A	4037	9104	8268	7748	7030	8987	YBR031W
HAL1	226	418	430	271	346	330	YPR005C
YIP3	151	307	327	246	253	325	YNL044W
VPS64	198	490	472	309	353	443	YDR200C
RMD5	349	680	790	562	528	705	YDR255C
YGR161W-B	0	0	0	0	0	0	YFL002W-A
TNA1	737	1607	1391	2067	1981	2117	YGR260W
YNL011C	178	516	383	394	356	432	YNL011C
NUP120	199	410	398	455	336	458	YKL057C
MCM5	129	281	253	248	216	327	YLR274W
THI11	83	123	124	62	62	90	YJR156C
SGT2	2004	4305	3750	2660	2588	3117	YOR007C
CDC13	42	106	83	68	79	79	YDL220C
MEP2	108	299	249	130	167	249	YNL142W
DED81	2235	4717	4534	3312	3311	4099	YHR019C
EFB1	2086	4254	3870	2780	2687	3791	YAL003W
TPO2	119	183	176	135	140	138	YGR138C
THS1	1294	2810	2521	2207	1957	2617	YIL078W
EPL1	325	663	634	546	559	656	YFL024C
SPT10	98	232	217	105	122	168	YJL127C
RPL32	3401	6920	6454	5801	4878	6874	YBL092W
DAK2	127	307	280	133	167	189	YFL053W
YBR201C-A	158	319	310	175	193	301	YBR201C-A
CIS3	816	1736	1693	1637	1761	2754	YJL158C
BCS1	235	515	431	367	402	420	YDR375C
SGN1	197	438	442	358	393	468	YIR001C
MIA40	1393	2971	2609	2401	2423	2961	YKL195W
SWA2	241	491	467	348	371	421	YDR320C
ATO2	513	984	988	561	598	761	YNR002C
TRM44	44	112	75	57	65	58	YPL030W
PPN1	1136	2289	2045	1725	1800	2118	YDR452W
TAD3	60	119	118	62	97	110	YLR316C
ROG3	170	375	356	195	207	263	YFR022W
NAF1	95	192	212	120	142	192	YNL124W
VRG4	106	242	219	333	295	390	YGL225W
YAR023C	75	173	163	170	179	228	YAR023C
FIT1	48	95	74	61	50	61	YDR534C
SAC6	3015	6521	5984	7169	7130	8012	YDR129C
VPS5	288	616	528	531	470	558	YOR069W
ORM1	158	350	314	195	215	242	YGR038W
